ID,length,Wt,DL,Hg,SamInEve,SpC,Event,SpC_Count2,SpC_EVENT
6418,18.24,1,0,0.95,9,327,305,6007,327_305
6414,12.21,1,0,0.44,9,327,305,6007,327_305
6419,20.17,2,0,1.23,9,327,305,6007,327_305
6417,12.61,1,0,0.71,9,327,305,6007,327_305
6415,13.32,6,0,0.47,9,327,305,6007,327_305
6413,11.43,1,0,0.38,9,327,305,6007,327_305
6421,13.4,5,0,0.39,2,327,306,6007,327_306
6422,17.34,3,0,0.7,2,327,306,6007,327_306
6423,14.26,5,0,0.35,2,327,307,6007,327_307
6424,16.31,3,0,0.43,2,327,307,6007,327_307
6425,14.07,6,0,0.45,2,327,308,6007,327_308
6426,16.35,3,0,0.47,2,327,308,6007,327_308
6427,14.03,5,1,0.1,2,327,309,6007,327_309
6428,18.56,3,0,0.15,2,327,309,6007,327_309
6443,16.51,1,0,1.29,16,327,311,6007,327_311
6436,12.53,1,0,0.85,16,327,311,6007,327_311
6440,14.03,1,0,1.07,16,327,311,6007,327_311
6446,19.15,1,0,2.44,16,327,311,6007,327_311
6441,15.52,1,0,1.12,16,327,311,6007,327_311
6438,13.51,1,0,1,16,327,311,6007,327_311
6434,12.37,1,0,0.58,16,327,311,6007,327_311
6445,21.51,1,0,2.29,16,327,311,6007,327_311
6442,14.26,1,0,1.24,16,327,311,6007,327_311
6444,15.64,1,0,2.02,16,327,311,6007,327_311
6439,12.53,1,0,1.03,16,327,311,6007,327_311
6437,12.77,1,0,0.95,16,327,311,6007,327_311
6435,11.7,1,0,0.77,16,327,311,6007,327_311
6433,13.75,1,0,0.55,16,327,311,6007,327_311
6469,13.99,1,0,0.91,21,320,323,367,320_323
6471,13,1,0,1.32,21,320,323,367,320_323
6467,13.51,1,0,0.76,21,320,323,367,320_323
6470,12.25,1,0,1.31,21,320,323,367,320_323
6468,12.1,1,0,0.85,21,320,323,367,320_323
6466,12.81,1,0,0.75,21,320,323,367,320_323
6478,11.9,1,0,1.03,21,327,323,6007,327_323
6483,13.59,1,0,1.43,21,327,323,6007,327_323
6475,12.02,1,0,0.81,21,327,323,6007,327_323
6481,13.24,1,0,1.33,21,327,323,6007,327_323
6480,15.05,1,0,1.24,21,327,323,6007,327_323
6474,12.02,1,0,0.73,21,327,323,6007,327_323
6485,16.19,1,0,2.41,21,327,323,6007,327_323
6482,14.58,1,0,1.41,21,327,323,6007,327_323
6479,13.59,1,0,1.09,21,327,323,6007,327_323
6477,13.91,1,0,0.95,21,327,323,6007,327_323
6476,13.95,1,0,0.85,21,327,323,6007,327_323
6484,15.17,1,0,1.47,21,327,323,6007,327_323
6473,12.84,1,0,0.66,21,327,323,6007,327_323
6472,11.43,1,0,0.53,21,327,323,6007,327_323
6490,12.92,6,0,1.05,4,327,326,6007,327_326
6491,12.84,4,0,1.4,4,327,326,6007,327_326
6493,13.28,1,0,0.26,28,233,327,1277,233_327
6494,14.3,1,0,0.31,28,233,327,1277,233_327
6495,14.26,1,0,0.33,28,233,327,1277,233_327
6496,14.58,1,0,0.39,28,233,327,1277,233_327
6497,16.35,1,0,0.43,28,233,327,1277,233_327
6498,16.08,1,0,0.45,28,233,327,1277,233_327
6499,14.89,1,0,0.5,28,233,327,1277,233_327
6500,13.4,1,0,0.58,28,233,327,1277,233_327
6501,15.84,1,0,0.61,28,233,327,1277,233_327
6502,15.84,1,0,0.63,28,233,327,1277,233_327
6503,19.07,1,0,0.63,28,233,327,1277,233_327
6504,19.46,1,0,0.72,28,233,327,1277,233_327
6505,16.47,1,0,0.74,28,233,327,1277,233_327
6506,16.04,1,0,0.85,28,233,327,1277,233_327
6517,18.2,1,0,0.48,28,238,327,3254,238_327
6508,12.61,1,1,0.1,28,238,327,3254,238_327
6513,17.65,1,0,0.24,28,238,327,3254,238_327
6510,15.56,1,0,0.14,28,238,327,3254,238_327
6511,16.98,1,0,0.19,28,238,327,3254,238_327
6512,15.96,1,0,0.24,28,238,327,3254,238_327
6514,15.48,1,0,0.29,28,238,327,3254,238_327
6515,16.04,1,0,0.35,28,238,327,3254,238_327
6516,18.32,1,0,0.4,28,238,327,3254,238_327
6509,14.11,1,1,0.1,28,238,327,3254,238_327
6518,19.78,1,0,1.19,28,490,327,757,490_327
6519,22.77,1,0,1.27,28,490,327,757,490_327
6520,15.41,1,0,1.3,28,490,327,757,490_327
6521,18.99,1,0,1.38,28,490,327,757,490_327
6524,15.21,1,0,0.77,38,233,330,1277,233_330
6525,12.65,1,0,0.9,38,233,330,1277,233_330
6526,15.01,1,0,1.11,38,233,330,1277,233_330
6527,17.06,1,0,1.19,38,233,330,1277,233_330
