ID,measured,LOO_modeled,sigma,DL
6049,0.19,0.32888,0.419147,0
6051,0.41,0.379585,0.419152,0
6052,0.48,0.546496,0.419149,0
6053,0.58,0.486524,0.419149,0
6054,0.87,0.372856,0.419139,0
6050,0.2,0.276226,0.419148,0
6055,0.22,0.257601,0.419149,0
6056,0.03,0.066655,0.419146,0
6057,0.09,0.040697,0.419145,0
6059,0.26,0.422544,0.419148,0
6060,0.66,0.556428,0.419149,0
6061,1.01,0.346613,0.419135,0
6058,0.24,0.386867,0.419148,0
6062,1.52,1.630179,0.419152,0
6063,0.44,0.440487,0.419149,0
6064,0.62,0.369876,0.419147,0
6065,1.34,1.327546,0.419151,0
6066,0.18,0.36922,0.419143,0
6067,1.39,0.906108,0.419148,0
6068,1.12,2.241534,0.419145,0
6069,0.44,0.328578,0.41915,0
6070,0.68,0.851803,0.419151,0
6071,0.43,0.335726,0.419151,0
6072,0.51,0.396746,0.419149,0
6076,1,0.781888,0.419149,0
6077,1.25,1.598527,0.419149,0
6078,0.69,1.238229,0.419147,0
6079,1.43,0.941826,0.419149,0
6080,2.43,2.056392,0.419151,0
6084,0.58,0.46451,0.41915,0
6083,0.35,0.437081,0.41915,0
6086,0.33,0.243211,0.419151,0
6087,0.49,0.664494,0.41915,0
6088,0.5,0.753448,0.419149,0
6089,0.52,0.451565,0.419151,0
6090,0.49,0.383163,0.41915,0
6091,0.46,0.497541,0.419151,0
6092,0.35,0.323569,0.419152,0
6093,1.3,1.949841,0.419148,0
6094,1.91,1.671981,0.419151,0
6096,0.94,0.475269,0.419143,0
6095,0.69,0.673477,0.419149,0
6098,0.74,0.886334,0.419151,0
6097,0.69,0.685317,0.419152,0
6099,1.03,1.085135,0.419151,0
6100,1.14,1.389404,0.419151,0
6101,0.1,0.334008,0.419129,1
6104,0.88,0.461061,0.419147,0
6103,0.27,0.515709,0.419147,0
6107,0.76,0.831514,0.419149,0
6106,0.6,0.548373,0.419152,0
6108,0.4,0.609083,0.41915,0
6109,0.86,0.564924,0.419149,0
6110,0.31,0.784728,0.419144,0
6111,0.56,0.22105,0.419143,0
6112,0.46,0.404655,0.419149,0
6113,0.56,0.384516,0.419148,0
6123,1.2,1.59059,0.419149,0
6125,1.97,1.705549,0.419149,0
6126,2.64,1.612744,0.419147,0
6118,0.86,0.832071,0.419149,0
6114,0.71,0.834593,0.419149,0
6121,0.94,1.114688,0.419149,0
6117,0.84,0.833473,0.419149,0
6115,0.74,0.885242,0.419149,0
6119,0.88,0.989565,0.419149,0
6124,1.28,1.266058,0.419149,0
6122,1.03,1.30197,0.419149,0
6120,0.9,0.807416,0.419149,0
6116,0.74,0.863593,0.419149,0
6127,0.39,0.260526,0.41915,0
6128,0.27,0.404164,0.419149,0
6130,0.64,1.015942,0.419148,0
6131,1.27,1.754164,0.419148,0
6132,0.63,0.3318,0.419147,0
6133,0.86,0.929796,0.41915,0
6136,2.58,1.95324,0.419149,0
6134,0.9,0.940635,0.419152,0
6135,1.5,1.630343,0.419149,0
6137,2.19,2.884736,0.419149,0
6138,1.62,2.501672,0.419148,0
6139,1.54,1.149909,0.419149,0
6140,0.93,0.505449,0.419146,0
6141,0.66,0.671329,0.419149,0
6142,2.45,2.314178,0.419151,0
6143,0.74,0.714188,0.419151,0
6145,0.72,0.604846,0.41915,0
6144,0.37,0.440516,0.419151,0
6150,0.26,0.208054,0.41915,0
6149,0.16,0.200006,0.419151,0
6152,1.24,0.84732,0.419149,0
6151,0.54,0.790424,0.41915,0
6156,0.74,1.219416,0.419148,0
6157,1.08,1.369081,0.419151,0
6158,0.51,0.251851,0.419145,0
6159,1.9,2.326332,0.41915,0
6160,2.25,2.261003,0.41915,0
6161,1.35,0.910265,0.419148,0
6162,0.83,0.552764,0.419149,0
6163,2.06,2.727716,0.41915,0
6164,0.59,0.757611,0.41915,0
6165,1.42,1.302546,0.419152,0
6166,0.48,0.473044,0.419151,0
6167,0.13,0.27501,0.419144,0
6168,0.35,0.182973,0.419146,0
6171,0.52,0.38607,0.419149,0
6170,0.3,0.404149,0.419151,0
6173,0.51,0.316288,0.419149,0
6172,0.26,0.419347,0.419149,0
6174,0.1,0.166071,0.419144,1
6176,0.1,0.105352,0.419147,1
6180,0.83,0.536743,0.419148,0
6179,0.39,0.603231,0.41915,0
6182,0.67,0.911378,0.419149,0
6181,0.64,0.470418,0.419151,0
6183,0.49,0.386228,0.419151,0
6184,0.38,0.482103,0.419151,0
6187,1.64,2.521622,0.419148,0
6188,2.15,1.970321,0.419151,0
6189,0.76,0.730566,0.419152,0
6190,3.17,2.607306,0.419151,0
6191,0.63,0.62887,0.419152,0
6192,0.46,0.387265,0.419151,0
6193,0.75,0.395295,0.419146,0
6194,0.33,0.755866,0.419143,0
6195,0.28,0.274894,0.419152,0
6196,0.42,0.427792,0.419151,0
